PRODUCT,BRAND,CATEGORY,CAPACITY,ITEM_CODE,ITEM_DESC,PART_NO,UOM,OPEN_QTY,RECEIVED_QTY,ISSUE_QTY,BAL_QTY,AMOUNT
Home Appliances,Gree,Floor Standing AC,24000 BTU,03010201150032,Guide Blade Lever GF-24VTIH 200235060023,200235060023,PCS,1,0,0,1,10.08
Home Appliances,Gree,Floor Standing AC,24000 BTU,03010201150033,Display Board GF-24VTIH 300001061674,300001061674,PCS,1,0,0,1,3156.71
Home Appliances,Gree,Floor Standing AC,24000 BTU,03010201150034,Main Board GF-24VTIH 300027064147,300027064147,PCS,5,6,7,4,98171.47
Home Appliances,Gree,Floor Standing AC,24000 BTU,03010201150035,Terminal Board GF-24VTIH 422000060091,422000060091,PCS,1,0,0,1,100.75
Home Appliances,Gree,Floor Standing AC,24000 BTU,03010201150036,Filter Sub-Assy GF-24VTIH 11100106031301,11100106031301,PCS,1,0,0,1,470.15
Home Appliances,Gree,Floor Standing AC,24000 BTU,03010201150037,Guide Louver (lower) GF-24VTIH 20000406017401,20000406017401,PCS,1,0,0,1,23.51
Home Appliances,Gree,Floor Standing AC,24000 BTU,03010201150038,Bushing (head) GF-24VTIH 20001606000901,20001606000901,PCS,1,0,0,1,6.72
Home Appliances,Gree,Floor Standing AC,24000 BTU,03010201150039,Axile Bush GF-24VTIH  20001606001401,20001606001401,PCS,2,0,0,2,13.43
Home Appliances,Gree,Floor Standing AC,24000 BTU,03010201570003,ID Rear Case Sub-Assy (45439)  GF-24ISH 13500009,13500009,PCS,0,1,0,1,10051.2
Home Appliances,Gree,Floor Standing AC,24000 BTU,03010201570006,Indoor Fan Motor GF-24ISH 15012143/1501214312,1501214312,PCS,0,15,8,7,51795.74
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202020044,Capillary Sub-assy GF-48CB4 300506305,300506305,PCS,0,1,0,1,32145.77
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202040003,Compressors and Fitting 48FW / 48CB 103704,103704,PCS,6,3,2,7,617605.86
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202040031,EOL PNA (CHINA SUPPLIER ) Capillary Sub Assy 48FW 3005160 / 3004017 / 300506305,3005160,PCS,0,5,4,1,124752.2
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202040060,"Packing Caton Compressor GF-48FW 7Ply (12.5""x12.5""x20"") with Print 03010202040060",03010202040060,NOS,25,0,0,25,7000
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202040061,"Packing Caton Indoor Fan Motor GF-48FW 3Ply (8""x8""x8"") With Print 03010202040061",03010202040061,NOS,25,0,0,25,1750
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202090002,Indoor Main PCB 48FWITH 30138000684,30138000684,PCS,2,0,0,2,5324.52
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202090006,Electric Expansion Valve 48FWITH 7135439, 7135439,PCS,0,2,0,2,7955.2
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202110001,Outdoor Electric Box GF-48TFIH 100002065730,100002065730,PCS,0,1,0,1,598559.94
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202110006,Outdoor Fan Motor GF-48TFIH 1570410001301,1570410001301,PCS,0,1,0,1,27000
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202110009,Outdoor Filter Board GF-48TFIH 300020060039,300020060039,PCS,1,0,0,1,4348.01
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202110011,Compressor and Fittings GF-48TFIH 9001060077,GF9001060077,PCS,0,4,3,1,-65949.31
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202120002,Compressor and Fittings GF-48TF 9001000235,9001000235,PCS,1,11,10,2,2411922.02
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202120004,Indoor Fan Motor GF-48TF 1501442409,1501442409,PCS,1,0,0,1,13681.03
Home Appliances,Gree,Floor Standing AC,48000 BTU,03010202120006,Indoor Display Board GF-48TF (55747) 300001000197,300001000197,PCS,0,4,2,2,3720
Home Appliances,Gree,Floor Standing AC,36000 BTU,03010204010005,Compressor and Fittings 36TFIH 9001060690,9001060690,PCS,1,0,0,1,40722.34
Home Appliances,Gree,Floor Standing AC,36000 BTU,03010204010008,Indoor Main Board GF-36TFIH 300002062460,300002062460,PCS,1,3,2,2,16226.65
Home Appliances,Gree,Floor Standing AC,36000 BTU,03010204010009,Remote Controller GF-36TFIH/I 305001060145,305001060145,PCS,0,5,0,5,19789.76
Home Appliances,Gree,Floor Standing AC,36000 BTU,03010204010010,Display Board GF-36TFIH/ GF-24TFIH 300001000195,300001000195,PCS,0,3,2,1,-876.53
Home Appliances,Gree,Water Dispensors,Models,03010301010015,Thermostat (Cold Tank) GY-LRS22B117300007,117300007,PCS,0,8,4,4,2702.95
Home Appliances,Gree,Water Dispensors,Models,03010301020007,Child Lock (White) GW-JL500F (46579) 128404610,128404610,PCS,10,0,0,10,461.95
Home Appliances,Gree,Water Dispensors,Models,03010301020011,Spring GW-JL500F (37893) 709600070,709600070,PCS,16,1,2,15,66.16
Home Appliances,Gree,Water Dispensors,Models,03010301020012,Spring GW-JL500F (37894) 709600071,709600071,PCS,15,8,11,12,112.02
Home Appliances,Gree,Water Dispensors,Models,03010301020013,Water Faucet GW-JL500F 128404771,128404771,PCS,1,15,15,1,75.3
Home Appliances,Gree,Water Dispensors,Models,03010301020014,Button (Left) (Hot) GW-JL500F 128404621P03,128404621P03,PCS,3,0,0,3,286.19
Home Appliances,Gree,Water Dispensors,Models,03010301020015,Spilit Flow cover JL500F 12510002701,12510002701,PCS,3,1,3,1,166.35
Home Appliances,Gree,Water Dispensors,Models,03010301020017,Smart Block (Cap) GW-JL500 12840390801,12840390801,PCS,10,61,70,1,12797.37
Home Appliances,Gree,Water Dispensors,Models,03010301020020,Water Tray GW-JL500F 128404585P,128404585P,PCS,10,0,0,10,3134.48
Home Appliances,Gree,Water Dispensors,Models,03010301020026,Temperature Controller 86°c GW-JL500F With Fridge 117300026,117300026,PCS,4,2,4,2,216.14
Home Appliances,Gree,Water Dispensors,Models,03010301020030,Hot Tank JL500F 13320023804,13320023804,PCS,1,6,6,1,4592.72
Home Appliances,Gree,Water Dispensors,Models,03010301020031,Cold tank GW-JL500F 18006440005,18006440005,PCS,2,5,4,3,7166.17
Home Appliances,Gree,Water Dispensors,Models,03010301020036,Outlet pipe 1 128990775 GW-JL500F,128990775,PCS,5,0,0,5,339.56
Home Appliances,Gree,Water Dispensors,Models,03010301020037,Outlet pipe 2 128990762 GW-JL500F,128990762,PCS,10,0,0,10,500
Home Appliances,Gree,Water Dispensors,Models,03010301020038,Outlet pipe 3 128990767 GW-JL500F,128990767,PCS,8,0,0,8,400
Home Appliances,Gree,Water Dispensors,Models,03010301020041,Button(middle) (Normal) GW-JL400FS (37811) 128404845P03,128404845P03,PCS,12,16,25,3,1075.88
Home Appliances,Gree,Water Dispensors,Models,03010301020048,Condenser GW-JL500F 1264240003,1264240003,PCS,0,1,0,1,2000
Home Appliances,Gree,Water Dispensors,Models,03010301040009,Hot Tank 128400867  GW-JL400FC,128400867,PCS,4,9,12,1,3160
Home Appliances,Gree,Water Dispensors,Models,03010301070002,Cap of Water faucet  GW-JL500F (41844) 18009840003,18009840003,PCS,31,10,15,26,160.62
Home Appliances,Gree,Water Dispensors,Models,03010301070003,Cold tank Sub-assy 133000388 (39274) GW-JL500F,133000388,PCS,0,3,2,1,4580.58
Home Appliances,Gree,Water Dispensors,Models,03010301070005,Sealing Rings GW-JL500 128990865,128990865,PCS,25,1,2,24,7207.94
Home Appliances,Gree,Water Dispensors,Models,03010301070006,Base GW-JL500F 128404582,128404582,PCS,0,4,3,1,-513.08
